Z-Score Calculation Summary
====================================================================================================
Ticker: GAB
NAV Symbol: XGABX
Start Date: 2022-12-22
End Date: 2025-12-22
Data Points: 751
Current Premium/Discount: 9.20353982% (0.092035)
Average Premium/Discount: 4.50892050% (0.045089)
STDEV.P: 3.81880137% (0.038188)
Z-Score: 1.22934368

====================================================================================================
Daily Price and NAV Data (3-Year Window)
====================================================================================================
Date,Price,NAV,Premium/Discount (Decimal),Premium/Discount (%)
2024-02-13,5.2300,5.2300,0.00000000,0.00000000%
2024-02-14,5.3100,5.2900,0.00378072,0.37807183%
2024-02-15,5.3600,5.3400,0.00374532,0.37453184%
2024-02-16,5.3200,5.3100,0.00188324,0.18832392%
2024-02-20,5.3200,5.2900,0.00567108,0.56710775%
2024-02-21,5.3200,5.3100,0.00188324,0.18832392%
2024-02-22,5.3600,5.3600,0.00000000,0.00000000%
2024-02-23,5.3800,5.3800,0.00000000,0.00000000%
2024-02-26,5.4000,5.3600,0.00746269,0.74626866%
2024-02-27,5.4300,5.3800,0.00929368,0.92936803%
2024-02-28,5.4400,5.3800,0.01115242,1.11524164%
2024-02-29,5.4800,5.4000,0.01481481,1.48148148%
2024-03-01,5.5200,5.4300,0.01657459,1.65745856%
2024-03-04,5.5700,5.4200,0.02767528,2.76752768%
2024-03-05,5.5400,5.3900,0.02782931,2.78293135%
2024-03-06,5.5500,5.4200,0.02398524,2.39852399%
2024-03-07,5.6000,5.4700,0.02376600,2.37659963%
2024-03-08,5.6000,5.4600,0.02564103,2.56410256%
2024-03-11,5.6300,5.4700,0.02925046,2.92504570%
2024-03-12,5.7200,5.4900,0.04189435,4.18943534%
2024-03-13,5.4300,5.3600,0.01305970,1.30597015%
2024-03-14,5.4100,5.3200,0.01691729,1.69172932%
2024-03-15,5.4100,5.3300,0.01500938,1.50093809%
2024-03-18,5.4200,5.3400,0.01498127,1.49812734%
2024-03-19,5.4400,5.3800,0.01115242,1.11524164%
2024-03-20,5.5400,5.4400,0.01838235,1.83823529%
2024-03-21,5.5000,5.4800,0.00364964,0.36496350%
2024-03-22,5.5500,5.4400,0.02022059,2.02205882%
2024-03-25,5.5100,5.4200,0.01660517,1.66051661%
2024-03-26,5.4900,5.4200,0.01291513,1.29151292%
2024-03-27,5.5500,5.5000,0.00909091,0.90909091%
2024-03-28,5.5200,5.5100,0.00181488,0.18148820%
2024-04-01,5.4300,5.4700,-0.00731261,-0.73126143%
2024-04-02,5.3800,5.4200,-0.00738007,-0.73800738%
2024-04-03,5.3900,5.4400,-0.00919118,-0.91911765%
2024-04-04,5.3700,5.3900,-0.00371058,-0.37105751%
2024-04-05,5.3900,5.4300,-0.00736648,-0.73664825%
2024-04-08,5.4200,5.4400,-0.00367647,-0.36764706%
2024-04-09,5.4200,5.4300,-0.00184162,-0.18416206%
2024-04-10,5.3300,5.3500,-0.00373832,-0.37383178%
2024-04-11,5.3200,5.3500,-0.00560748,-0.56074766%
2024-04-12,5.2800,5.2600,0.00380228,0.38022814%
2024-04-15,5.1700,5.2200,-0.00957854,-0.95785441%
2024-04-16,5.2300,5.1900,0.00770713,0.77071291%
2024-04-17,5.2100,5.1800,0.00579151,0.57915058%
2024-04-18,5.2100,5.1900,0.00385356,0.38535645%
2024-04-19,5.2100,5.2300,-0.00382409,-0.38240918%
2024-04-22,5.2900,5.2700,0.00379507,0.37950664%
2024-04-23,5.3000,5.3300,-0.00562852,-0.56285178%
2024-04-24,5.3100,5.3300,-0.00375235,-0.37523452%
2024-04-25,5.3000,5.3100,-0.00188324,-0.18832392%
2024-04-26,5.3100,5.3200,-0.00187970,-0.18796992%
2024-04-29,5.3200,5.3400,-0.00374532,-0.37453184%
2024-04-30,5.2900,5.2400,0.00954198,0.95419847%
2024-05-01,5.3000,5.2300,0.01338432,1.33843212%
2024-05-02,5.3300,5.2700,0.01138520,1.13851992%
2024-05-03,5.3500,5.3100,0.00753296,0.75329567%
2024-05-06,5.3700,5.3600,0.00186567,0.18656716%
2024-05-07,5.3800,5.3900,-0.00185529,-0.18552876%
2024-05-08,5.4200,5.4000,0.00370370,0.37037037%
2024-05-09,5.4800,5.4600,0.00366300,0.36630037%
2024-05-10,5.4700,5.4700,0.00000000,0.00000000%
2024-05-13,5.4500,5.4500,0.00000000,0.00000000%
2024-05-14,5.4900,5.4800,0.00182482,0.18248175%
2024-05-15,5.5300,5.5200,0.00181159,0.18115942%
2024-05-16,5.5400,5.5000,0.00727273,0.72727273%
2024-05-17,5.5600,5.5000,0.01090909,1.09090909%
2024-05-20,5.6000,5.5000,0.01818182,1.81818182%
2024-05-21,5.6200,5.4900,0.02367942,2.36794171%
2024-05-22,5.6000,5.4600,0.02564103,2.56410256%
2024-05-23,5.5400,5.3800,0.02973978,2.97397770%
2024-05-24,5.5700,5.4100,0.02957486,2.95748614%
2024-05-28,5.5000,5.3600,0.02611940,2.61194030%
2024-05-29,5.4100,5.2700,0.02656546,2.65654649%
2024-05-30,5.3800,5.3300,0.00938086,0.93808630%
2024-05-31,5.4900,5.4100,0.01478743,1.47874307%
2024-06-03,5.4900,5.3700,0.02234637,2.23463687%
2024-06-04,5.4900,5.3600,0.02425373,2.42537313%
2024-06-05,5.5700,5.3900,0.03339518,3.33951763%
2024-06-06,5.5600,5.3700,0.03538175,3.53817505%
2024-06-07,5.5800,5.3300,0.04690432,4.69043152%
2024-06-10,5.5500,5.3300,0.04127580,4.12757974%
2024-06-11,5.5400,5.3000,0.04528302,4.52830189%
2024-06-12,5.4600,5.3400,0.02247191,2.24719101%
2024-06-13,5.2400,5.1500,0.01747573,1.74757282%
2024-06-14,5.2400,5.0900,0.02946955,2.94695481%
2024-06-17,5.2500,5.1400,0.02140078,2.14007782%
2024-06-18,5.2300,5.1700,0.01160542,1.16054159%
2024-06-20,5.2500,5.1700,0.01547389,1.54738878%
2024-06-21,5.4200,5.1600,0.05038760,5.03875969%
2024-06-24,5.3300,5.2100,0.02303263,2.30326296%
2024-06-25,5.2900,5.1700,0.02321083,2.32108317%
2024-06-26,5.2600,5.1400,0.02334630,2.33463035%
2024-06-27,5.2600,5.1400,0.02334630,2.33463035%
2024-06-28,5.2000,5.1500,0.00970874,0.97087379%
2024-07-01,5.2200,5.1000,0.02352941,2.35294118%
2024-07-02,5.2500,5.1400,0.02140078,2.14007782%
2024-07-03,5.3200,5.1600,0.03100775,3.10077519%
2024-07-05,5.2700,5.1600,0.02131783,2.13178295%
